"dataset"	"model_code"	"matrix_name"	"sequence_format"	"prefix"	"best_model"	"best_model_LogL"	"best_model_BIC"	"best_model_wBIC"	"tree_LogL"	"tree_UnconstrainedLogL"	"tree_NumFreeParams"	"tree_BIC"	"tree_length"	"tree_SumInternalBranch"	"tree_PercentInternalBranch"	"estimated_rates"	"estimated_gamma"	"estimated_state_frequencies"	"maximum_likelihood_tree"
"Borowiec2015"	"C20"	"Best108"	"aa"	"Borowiec2015.Best108.C20"	"C20+F+R5"	-1411017.569	2823269.476	0.635	-1410318.1854	-441579.5267	116	2821870.7086	13.3526	2.7122	20.31	"0.2300,0.0493,0.1969,0.2922,0.2213,0.7934,0.2424,1.6945,0.1094,3.1511"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:0.9043541571,((((((((((((Apis:0.0421886201,Bombus:0.0511293703)100:0.2321091019,(Tribolium:0.2378497367,(Danaus:0.3277782137,Drosophila:0.3871036664)100:0.0318310931)98:0.0291433011)100:0.0379045187,(Acyrthosiphon:0.3876982182,Rhodnius:0.3143120456)100:0.0478734874)100:0.0923165345,Daphnia:0.3522818728)100:0.0708443023,Strigamia:0.3097107179)81:0.0163591269,(Tetranychus:0.5788814349,Ixodes:0.3464601274)100:0.0445872499)100:0.0392041255,(Caenorhabditis:0.4598408215,Brugia:0.3150117853)100:0.5603614402)100:0.0510901397,(Capitella:0.2790334668,(Lottia:0.2309478565,Pinctada:0.2596191486)100:0.0390673825)100:0.0524209706)100:0.0325635577,(((((Monosiga:0.3665030351,Salpingoeca:0.3995647894)100:0.4872391723,Mnemiopsis:0.5861917001)99:0.0356076113,Amphimedon:0.5105184065)99:0.0297460689,Trichoplax:0.4359118380)75:0.0234300204,((Acropora:0.2292180709,Nematostella:0.1631555064)100:0.0838338157,Hydra:0.4318775281)100:0.0480579217)100:0.0707689153)100:0.0180173529,(Strongylocentrotus:0.2883072599,Saccoglossus:0.2247977485)100:0.0500512478)86:0.0221690390,Branchiostoma:0.2412361328)100:0.0401714966,(((Xenopus:0.1131217768,(Homo:0.1024022516,(Gallus:0.1047159013,Anolis:0.0686362119)100:0.0144266734)100:0.0257983700)100:0.0186104069,Latimeria:0.1041330317)100:0.0217470353,(Fugu:0.0677890201,Gasterosteus:0.0646785070)100:0.0872589291)100:0.1439522297)100:0.1135925409,Ciona:0.3534710566);"
"Borowiec2015"	"C60"	"Best108"	"aa"	"Borowiec2015.Best108.C60"	"C60+F+R6"	-1401869.221	2805419.695	1	-1401187.6772	-441579.5267	158	2804056.6076	14.5298	3.0032	20.67	"0.2068,0.0416,0.1735,0.2206,0.2034,0.6090,0.2390,1.3526,0.1675,2.5715,0.0098,7.6692"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:1.0241793649,((((((((((((Apis:0.0425345273,Bombus:0.0525448288)100:0.2478453643,(Tribolium:0.2535168285,(Danaus:0.3548111105,Drosophila:0.4188853575)100:0.0326521788)100:0.0306008150)100:0.0400648499,(Acyrthosiphon:0.4226987147,Rhodnius:0.3380979167)100:0.0503441653)100:0.1049859057,Daphnia:0.3790393583)100:0.0794480555,Strigamia:0.3317486164)85:0.0166067600,(Tetranychus:0.6383076205,Ixodes:0.3767636137)100:0.0439092041)100:0.0438117342,(Caenorhabditis:0.5021937691,Brugia:0.3360655063)100:0.6519506603)100:0.0568709062,(Capitella:0.2970066538,(Lottia:0.2473822730,Pinctada:0.2789217604)100:0.0408759383)100:0.0549273171)100:0.0360682497,(((((Monosiga:0.3921400941,Salpingoeca:0.4364039418)100:0.5719689135,Mnemiopsis:0.6503200625)98:0.0354210990,Amphimedon:0.5584386275)100:0.0320762880,Trichoplax:0.4743242094)74:0.0239349704,((Acropora:0.2433182573,Nematostella:0.1719418065)100:0.0894710089,Hydra:0.4697290492)100:0.0499188215)100:0.0787417410)100:0.0177273233,(Strongylocentrotus:0.3101926235,Saccoglossus:0.2399549039)100:0.0517697028)92:0.0220732328,Branchiostoma:0.2541748391)100:0.0433225196,(((Xenopus:0.1171784654,(Homo:0.1061769815,(Gallus:0.1083650280,Anolis:0.0708476706)100:0.0145147975)100:0.0264146386)100:0.0191121231,Latimeria:0.1076887212)100:0.0206547458,(Fugu:0.0699851593,Gasterosteus:0.0662316902)100:0.0934254645)100:0.1574480469)100:0.1242909941,Ciona:0.3844277833);"
"Borowiec2015"	"CF4"	"Best108"	"aa"	"Borowiec2015.Best108.CF4"	"CF4+F+R5"	-1494482.025	2990028.134	0.517	-1493772.5194	-441579.5267	100	2988609.1231	11.4884	2.3109	20.12	"0.2244,0.0572,0.1981,0.3153,0.2277,0.8217,0.2331,1.6822,0.1167,2.9603"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:0.7028968595,(((((((((((Apis:0.0430823364,Bombus:0.0472113988)100:0.2088843726,(Tribolium:0.2174562417,(Danaus:0.2857027859,Drosophila:0.3357854234)100:0.0385093609)88:0.0301412922)100:0.0370385122,(Acyrthosiphon:0.3334319384,Rhodnius:0.2781582510)100:0.0481571527)100:0.0737304930,Daphnia:0.3107027019)100:0.0622434689,((Tetranychus:0.4708224629,Ixodes:0.2918628099)70:0.0448249233,Strigamia:0.2702016998)46:0.0238442018)70:0.0334350161,(Caenorhabditis:0.3862528723,Brugia:0.2899951358)100:0.4088059743)100:0.0439806671,(Capitella:0.2503215903,(Lottia:0.2039539674,Pinctada:0.2345124489)100:0.0410323657)100:0.0524892078)100:0.0308243748,(((((Monosiga:0.3214950248,Salpingoeca:0.3417319703)100:0.3309703339,Mnemiopsis:0.4684022796)94:0.0415080829,Amphimedon:0.4234796924)97:0.0338188770,Trichoplax:0.3724844538)88:0.0276859360,((Acropora:0.2050244536,Nematostella:0.1519511817)100:0.0717124050,Hydra:0.3746946278)100:0.0481207613)100:0.0577294556)99:0.0213977396,(Strongylocentrotus:0.2545274875,Saccoglossus:0.2022168972)100:0.0500286777)61:0.0229499878,Branchiostoma:0.2202892191)100:0.0374493681,(((Xenopus:0.1067307899,(Homo:0.0971625959,(Gallus:0.0991261304,Anolis:0.0649948737)100:0.0146317804)100:0.0248515885)100:0.0183687307,Latimeria:0.0983575271)100:0.0233048485,(Fugu:0.0642422476,Gasterosteus:0.0625069211)100:0.0795939937)100:0.1239163852)100:0.1049029173,Ciona:0.2957624922);"
"Borowiec2015"	"EHO"	"Best108"	"aa"	"Borowiec2015.Best108.EHO"	"EHO+R6"	-1415973.919	2832809.746	1	-1415579.5511	-441579.5267	81	2832021.0105	13.2559	2.6378	19.9	"0.1694,0.0405,0.1912,0.2066,0.2345,0.6031,0.2209,1.2670,0.1396,2.3642,0.0444,4.5618"	NA	NA	"(Oikopleura:0.8405200722,(((((((((((Apis:0.0435414460,Bombus:0.0482985400)100:0.2407056467,(Tribolium:0.2478925065,(Danaus:0.3366895494,Drosophila:0.3938323322)100:0.0403946261)100:0.0298637903)100:0.0409211347,(Acyrthosiphon:0.3858163724,Rhodnius:0.3282656177)100:0.0562797461)100:0.0851017462,Daphnia:0.3503598358)100:0.0718742184,((Tetranychus:0.5581378187,Ixodes:0.3395231939)100:0.0492225608,Strigamia:0.3002967754)67:0.0235511589)100:0.0407716638,(Caenorhabditis:0.4622844099,Brugia:0.3430064334)100:0.4977168096)100:0.0461098361,(Capitella:0.2764276750,(Lottia:0.2288440824,Pinctada:0.2680931902)100:0.0472325169)100:0.0549076197)100:0.0319513142,(((((Monosiga:0.3933171987,Salpingoeca:0.4197541243)100:0.4074672025,Mnemiopsis:0.5620801559)100:0.0459386721,Amphimedon:0.5030963820)100:0.0333643656,Trichoplax:0.4274404639)100:0.0307715785,((Acropora:0.2349840205,Nematostella:0.1676344124)100:0.0836145314,Hydra:0.4309827240)100:0.0518043221)100:0.0648985069)100:0.0197988003,(Strongylocentrotus:0.2895346602,Saccoglossus:0.2231499247)100:0.0522298354)89:0.0221288276,Branchiostoma:0.2449504983)100:0.0403688325,(((Xenopus:0.1128007226,(Homo:0.1036408182,(Gallus:0.1072898591,Anolis:0.0678604091)100:0.0152108901)100:0.0247982214)100:0.0185897881,Latimeria:0.1053124605)100:0.0224710239,(Fugu:0.0676522775,Gasterosteus:0.0645262872)100:0.0863665641)100:0.1383481172)100:0.1230287228,Ciona:0.3402261059);"
"Borowiec2015"	"EX_EHO"	"Best108"	"aa"	"Borowiec2015.Best108.EX_EHO"	"EX_EHO+R7"	-1409538.919	2819992.95	0.999	-1408769.9173	-441579.5267	86	2818454.947	13.8488	2.7636	19.96	"0.1800,0.0459,0.1140,0.2047,0.1608,0.4739,0.2224,0.8968,0.2137,1.5604,0.0993,2.9289,0.0097,7.0492"	NA	NA	"(Oikopleura:0.8954153415,(((((((((((Apis:0.0444687466,Bombus:0.0502895584)100:0.2491163917,(Tribolium:0.2570739429,(Danaus:0.3503807866,Drosophila:0.4116359868)100:0.0412934429)100:0.0311934449)100:0.0425512273,(Acyrthosiphon:0.4019480949,Rhodnius:0.3405423368)100:0.0573449188)100:0.0896750157,Daphnia:0.3641921461)100:0.0751972553,((Tetranychus:0.5872944729,Ixodes:0.3540268515)100:0.0506505123,Strigamia:0.3118394083)72:0.0237251150)100:0.0429901786,(Caenorhabditis:0.4854796452,Brugia:0.3547684350)100:0.5316861732)100:0.0474523311,(Capitella:0.2871230086,(Lottia:0.2386951504,Pinctada:0.2767705246)100:0.0487642519)100:0.0567387032)100:0.0332184267,(((((Monosiga:0.4125621501,Salpingoeca:0.4411196559)100:0.4394030875,Mnemiopsis:0.5920842175)100:0.0460659123,Amphimedon:0.5258654527)100:0.0332866806,Trichoplax:0.4457734702)94:0.0306204175,((Acropora:0.2435897466,Nematostella:0.1733240573)100:0.0869669852,Hydra:0.4476408330)100:0.0534586034)100:0.0677884659)100:0.0197441136,(Strongylocentrotus:0.3016989550,Saccoglossus:0.2307432004)100:0.0540051480)87:0.0226563315,Branchiostoma:0.2540394526)100:0.0419271024,(((Xenopus:0.1166647549,(Homo:0.1072779344,(Gallus:0.1111029271,Anolis:0.0702384563)100:0.0157456917)100:0.0257251478)100:0.0190772013,Latimeria:0.1088788404)100:0.0229514715,(Fugu:0.0702499415,Gasterosteus:0.0665101924)100:0.0898872744)100:0.1439559421)100:0.1287653799,Ciona:0.3538454454);"
"Borowiec2015"	"EX2"	"Best108"	"aa"	"Borowiec2015.Best108.EX2"	"EX2+R6"	-1415176.377	2831204.021	0.746	-1414086	-441579.5267	80	2829023.2675	13.6123	2.7271	20.03	"0.1994,0.0499,0.1595,0.2734,0.2315,0.6696,0.2661,1.3404,0.1253,2.6344,0.0182,5.7494"	NA	NA	"(Oikopleura:0.8724047543,(((((((((((Apis:0.0442672468,Bombus:0.0500644442)100:0.2448316607,(Tribolium:0.2527987701,(Danaus:0.3442415715,Drosophila:0.4039317822)99:0.0419972537)93:0.0313964911)100:0.0426318861,(Acyrthosiphon:0.3936710376,Rhodnius:0.3358970311)100:0.0574247065)100:0.0880933975,Daphnia:0.3582213795)100:0.0739872357,((Tetranychus:0.5749411438,Ixodes:0.3460739859)100:0.0508219541,Strigamia:0.3077057848)76:0.0242337184)100:0.0423096612,(Caenorhabditis:0.4755888113,Brugia:0.3483146880)100:0.5170299827)100:0.0481532476,(Capitella:0.2836059669,(Lottia:0.2361608065,Pinctada:0.2727038696)100:0.0483535175)100:0.0571741324)100:0.0334034578,(((((Monosiga:0.4046623422,Salpingoeca:0.4303994582)100:0.4233330360,Mnemiopsis:0.5759064858)100:0.0473562109,Amphimedon:0.5137023299)99:0.0339732711,Trichoplax:0.4373807438)96:0.0315508493,((Acropora:0.2404277146,Nematostella:0.1717883410)100:0.0858166669,Hydra:0.4390840130)100:0.0530138479)100:0.0675758417)100:0.0204137423,(Strongylocentrotus:0.2972333927,Saccoglossus:0.2287322476)100:0.0543422321)81:0.0231907831,Branchiostoma:0.2517054713)100:0.0423459576,(((Xenopus:0.1160608986,(Homo:0.1066844640,(Gallus:0.1102065550,Anolis:0.0699392654)100:0.0158179552)100:0.0256444396)100:0.0192200972,Latimeria:0.1081424587)100:0.0232256272,(Fugu:0.0701546252,Gasterosteus:0.0663494737)100:0.0889992226)100:0.1412845070)100:0.1281066046,Ciona:0.3461130901);"
"Borowiec2015"	"EX3"	"Best108"	"aa"	"Borowiec2015.Best108.EX3"	"EX3+R7"	-1413798.275	2828479.74	0.995	-1412674.2282	-441579.5267	83	2826231.6464	13.9288	2.7905	20.03	"0.1853,0.0450,0.1388,0.2345,0.1634,0.5332,0.2299,0.9621,0.2028,1.7530,0.0709,3.2612,0.0090,7.1587"	NA	NA	"(Oikopleura:0.8983936674,(((((((((((Apis:0.0447040032,Bombus:0.0507975425)100:0.2500902562,(Tribolium:0.2576812982,(Danaus:0.3522734049,Drosophila:0.4133086735)100:0.0427088506)100:0.0320133500)100:0.0435332581,(Acyrthosiphon:0.4025663511,Rhodnius:0.3429439093)100:0.0586000664)100:0.0903776560,Daphnia:0.3656285322)100:0.0755819322,((Tetranychus:0.5900551428,Ixodes:0.3540373333)100:0.0514521030,Strigamia:0.3137121477)79:0.0245762984)100:0.0431748181,(Caenorhabditis:0.4880326362,Brugia:0.3567929498)100:0.5327933870)100:0.0488231818,(Capitella:0.2893331427,(Lottia:0.2412349561,Pinctada:0.2780672080)100:0.0494690327)100:0.0579825096)100:0.0338342582,(((((Monosiga:0.4150393505,Salpingoeca:0.4428928899)100:0.4375703443,Mnemiopsis:0.5921448781)100:0.0483305045,Amphimedon:0.5274982666)100:0.0345421939,Trichoplax:0.4482353604)100:0.0317232720,((Acropora:0.2448775308,Nematostella:0.1750562880)100:0.0875113834,Hydra:0.4488781782)100:0.0543191268)100:0.0683979949)100:0.0205095412,(Strongylocentrotus:0.3034655420,Saccoglossus:0.2324943719)100:0.0549637840)80:0.0233979114,Branchiostoma:0.2562140526)100:0.0431587947,(((Xenopus:0.1177657383,(Homo:0.1082918896,(Gallus:0.1120832813,Anolis:0.0709971082)100:0.0160102587)100:0.0260855746)100:0.0194355286,Latimeria:0.1098800940)100:0.0234419774,(Fugu:0.0711140563,Gasterosteus:0.0673957054)100:0.0908346843)100:0.1440968399)100:0.1311484488,Ciona:0.3544093722);"
"Borowiec2015"	"GTR20"	"Best108"	"aa"	"Borowiec2015.Best108.GTR20"	"GTR20+F+I+R6"	-1417491.615	2838047.793	0.405	-1416782.151	-441579.5267	288	2836628.8648	13.3219	2.6607	19.97	"0.2002,0.0779,0.1781,0.2994,0.2243,0.7098,0.1937,1.3790,0.1304,2.5215,0.0363,4.8502"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:0.8394200152,(((((((((((Apis:0.0442098727,Bombus:0.0486749157)100:0.2421832550,(Tribolium:0.2482357374,(Danaus:0.3373099412,Drosophila:0.3939602437)99:0.0419113922)92:0.0306414893)100:0.0412937457,(Acyrthosiphon:0.3880229730,Rhodnius:0.3312790415)100:0.0570283302)100:0.0854522425,Daphnia:0.3523356639)100:0.0721772258,((Tetranychus:0.5608466810,Ixodes:0.3392157214)100:0.0507817569,Strigamia:0.3039706834)66:0.0241131740)100:0.0416350318,(Caenorhabditis:0.4626141497,Brugia:0.3454147947)100:0.4959181340)100:0.0473630688,(Capitella:0.2790370829,(Lottia:0.2310571551,Pinctada:0.2694605120)100:0.0482622482)100:0.0561772345)100:0.0334139479,(((((Monosiga:0.3951459958,Salpingoeca:0.4183337275)100:0.3998964777,Mnemiopsis:0.5608817545)100:0.0493741977,Amphimedon:0.5017476300)100:0.0349033734,Trichoplax:0.4300930332)99:0.0326204156,((Acropora:0.2370385071,Nematostella:0.1688935572)100:0.0835917566,Hydra:0.4343332670)100:0.0524543653)100:0.0669538712)100:0.0205881729,(Strongylocentrotus:0.2902942517,Saccoglossus:0.2264202341)100:0.0536950689)84:0.0229712233,Branchiostoma:0.2462201619)100:0.0423775856,(((Xenopus:0.1142084358,(Homo:0.1050161809,(Gallus:0.1079162296,Anolis:0.0685534165)100:0.0155652154)100:0.0248992558)100:0.0187415917,Latimeria:0.1062377677)100:0.0227367694,(Fugu:0.0686422205,Gasterosteus:0.0655130513)100:0.0871779546)100:0.1377124896)100:0.1261299888,Ciona:0.3406266915);"
"Borowiec2015"	"JTT"	"Best108"	"aa"	"Borowiec2015.Best108.JTT"	"JTT+F+R6"	-1436523.079	2874088.961	0.999	-1435559.2342	-441579.5267	98	2872161.271	12.3338	2.4923	20.21	"0.1771,0.0427,0.1884,0.2222,0.2231,0.6335,0.2259,1.2799,0.1502,2.4129,0.0354,4.4544"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:0.7608275384,((((((((((((Apis:0.0420937022,Bombus:0.0474687146)100:0.2262980250,(Tribolium:0.2319548286,(Danaus:0.3103536492,Drosophila:0.3659616527)100:0.0414943969)90:0.0297781874)100:0.0392967237,(Acyrthosiphon:0.3571503118,Rhodnius:0.3046379006)100:0.0550967379)100:0.0810747072,Daphnia:0.3274242842)100:0.0624159183,Strigamia:0.2888472076)50:0.0192859550,(Tetranychus:0.5113860401,Ixodes:0.3122139793)97:0.0597350268)97:0.0360214287,(Caenorhabditis:0.4233745531,Brugia:0.3147904394)100:0.4524890457)100:0.0438364901,(Capitella:0.2620472744,(Lottia:0.2153120275,Pinctada:0.2503992280)100:0.0463551548)100:0.0537589582)100:0.0327003145,(((((Monosiga:0.3577561878,Salpingoeca:0.3807346299)100:0.3614642416,Mnemiopsis:0.5131008934)100:0.0481752443,Amphimedon:0.4600479068)100:0.0338334825,Trichoplax:0.3950427847)99:0.0320058762,((Acropora:0.2196634725,Nematostella:0.1572420373)100:0.0772459739,Hydra:0.4035962904)100:0.0503301013)100:0.0632990971)98:0.0206373923,(Strongylocentrotus:0.2687581896,Saccoglossus:0.2115656329)100:0.0515480352)74:0.0225003881,Branchiostoma:0.2304078760)100:0.0404802259,(((Xenopus:0.1090165769,(Homo:0.0998744527,(Gallus:0.1022890349,Anolis:0.0656345170)100:0.0147045861)100:0.0240824010)100:0.0184664862,Latimeria:0.1007475574)100:0.0224026119,(Fugu:0.0650527450,Gasterosteus:0.0622664997)100:0.0832196495)100:0.1284301875)100:0.1198017331,Ciona:0.3124960582);"
"Borowiec2015"	"JTTDCMut"	"Best108"	"aa"	"Borowiec2015.Best108.JTTDCMut"	"JTTDCMut+F+R6"	-1435949.389	2872941.581	0.999	-1435260.1237	-441579.5267	98	2871563.05	12.3366	2.492	20.2	"0.1773,0.0428,0.1883,0.2232,0.2228,0.6337,0.2259,1.2791,0.1501,2.4121,0.0355,4.4527"	NA	"0.0686,0.0553,0.0418,0.0580,0.0178,0.0403,0.0690,0.0586,0.0242,0.0621,0.0977,0.0736,0.0265,0.0411,0.0407,0.0624,0.0528,0.0090,0.0310,0.0693"	"(Oikopleura:0.7613190563,((((((((((((Apis:0.0420700346,Bombus:0.0474550613)100:0.2262483763,(Tribolium:0.2318504926,(Danaus:0.3104530141,Drosophila:0.3660865213)100:0.0414661226)89:0.0297805855)100:0.0393238725,(Acyrthosiphon:0.3570573926,Rhodnius:0.3048908995)100:0.0550873028)100:0.0809778367,Daphnia:0.3274335083)100:0.0624754967,Strigamia:0.2889136083)47:0.0192581415,(Tetranychus:0.5115466000,Ixodes:0.3124800657)98:0.0596268028)98:0.0360951029,(Caenorhabditis:0.4235270838,Brugia:0.3146926768)100:0.4526744994)100:0.0438013800,(Capitella:0.2621062175,(Lottia:0.2154892115,Pinctada:0.2504401459)100:0.0462956021)100:0.0537064398)100:0.0326544001,(((((Monosiga:0.3579267747,Salpingoeca:0.3810794518)100:0.3613815106,Mnemiopsis:0.5131506392)100:0.0481819073,Amphimedon:0.4599734160)100:0.0338680108,Trichoplax:0.3951619109)98:0.0319727659,((Acropora:0.2196806796,Nematostella:0.1573386216)100:0.0771923291,Hydra:0.4036835039)100:0.0503029575)100:0.0633107140)99:0.0206476001,(Strongylocentrotus:0.2689735248,Saccoglossus:0.2116185873)100:0.0515617268)77:0.0224583839,Branchiostoma:0.2304696754)100:0.0404552779,(((Xenopus:0.1090202994,(Homo:0.0999037708,(Gallus:0.1023500333,Anolis:0.0656476162)100:0.0146886756)100:0.0240851334)100:0.0184843330,Latimeria:0.1008243150)100:0.0223670420,(Fugu:0.0650841356,Gasterosteus:0.0623162562)100:0.0832258881)100:0.1284648037)100:0.1198627338,Ciona:0.3126041063);"
